repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noage_roc_auc,noage_pr_auc,noage_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noage_minus_ed,delta_pr_noage_minus_ed,delta_brier_noage_minus_ed,delta_roc_noage_minus_full,delta_pr_noage_minus_full,delta_brier_noage_minus_full,holdout_seed,cv_random_state,holdout_used
0,0,0,2529,633,0.70344355312072,0.3532624397241839,0.11474820601972983,0.7062218743885736,0.37609521463168016,0.11374837001976698,0.7187830170221092,0.37943889785598833,0.11313263829091062,0.0027783212678536007,0.022832774907496245,-0.000999835999962853,0.015339463901389183,0.026176458131804414,-0.0016155677288192116,0.012561142633535582,0.0033436832243081693,-0.0006157317288563585,42,2021,False
0,1,1,2529,633,0.6955210273122284,0.35063195367716044,0.11530984344510865,0.7547524829298571,0.42662403303682295,0.10974627995895961,0.7419692737430168,0.4201025302866859,0.11063964946728079,0.05923145561762866,0.07599207935966251,-0.005563563486149045,0.046448246430788376,0.06947057660952549,-0.004670193977827863,-0.012783209186840283,-0.00652150275013702,0.0008933695083211818,42,2021,False
0,2,2,2530,632,0.7039106145251397,0.3388937051557968,0.11572517237212143,0.7431931784769186,0.3896298370582277,0.11231813479631451,0.7347838870920317,0.37909099333345964,0.1134551103273303,0.03928256395177887,0.05073613190243087,-0.0034070375758069177,0.030873272566891985,0.04019728817766283,-0.0022700620447911324,-0.008409291384886886,-0.010538843724768043,0.0011369755310157853,42,2021,False
0,3,3,2530,632,0.6531020288150544,0.27451362497349185,0.1223540297938798,0.6815054395765952,0.2911445319551593,0.12242302155902926,0.67952562971675,0.2984613724291242,0.12182087540382668,0.028403410761540737,0.01663090698166747,6.899176514946204e-05,0.0264236009016956,0.02394774745563233,-0.0005331543900531227,-0.0019798098598451386,0.0073168404739648585,-0.0006021461552025847,42,2021,False
0,4,4,2530,632,0.6827795746349113,0.3051634551051827,0.11849029450081706,0.6683328432813879,0.32506803395908124,0.11910944114997847,0.6639223757718318,0.31862432408694324,0.11948786251154174,-0.014446731353523479,0.019904578853898514,0.0006191466491614062,-0.01885719886307957,0.013460868981760521,0.0009975680107246754,-0.004410467509556093,-0.006443709872137993,0.0003784213615632692,42,2021,False
1,0,5,2529,633,0.6616806887106241,0.30366874428125173,0.11821973018675548,0.6841322637448639,0.3501753633734825,0.11582069046849458,0.671277636470358,0.34739013338692976,0.11636315681216526,0.02245157503423978,0.04650661909223075,-0.002399039718260901,0.009596947759733854,0.04372138910567802,-0.0018565733745902202,-0.012854627274505925,-0.0027852299865527286,0.0005424663436706806,42,2021,False
1,1,6,2529,633,0.6573944754810677,0.3147330712620568,0.11813361067850785,0.6910110180012415,0.35440340445392,0.11720097019467385,0.6810599006828056,0.3489789438288514,0.11729637731675287,0.033616542520173875,0.039670333191863194,-0.0009326404838339991,0.023665425201737977,0.03424587256679462,-0.0008372333617549799,-0.009951117318435898,-0.005424460625068572,9.540712207901925e-05,42,2021,False
1,2,7,2530,632,0.7368911104577085,0.38416609571914145,0.11089855922024576,0.7363912574732923,0.384320572039874,0.11197425449181136,0.7400176418700384,0.38610377953082065,0.1118653364950809,-0.000499852984416238,0.00015447632073256612,0.0010756952715656048,0.0031265314123298804,0.0019376838116791917,0.0009667772748351428,0.0036263843967461185,0.0017832074909466256,-0.0001089179967304621,42,2021,False
1,3,8,2530,632,0.6625600313633244,0.27539610317824037,0.12268019667340434,0.6951484857394883,0.31733292852036743,0.11914139263595415,0.7014603547976085,0.3125491642799348,0.11975551281729699,0.03258845437616387,0.04193682534212706,-0.0035388040374501883,0.03890032343428407,0.03715306110169442,-0.002924683856107349,0.006311869058120201,-0.004783764240432642,0.0006141201813428393,42,2021,False
1,4,9,2530,632,0.7244339900029403,0.33689885965665856,0.11738315887918889,0.7318239733411742,0.3543345216553998,0.11475084634781599,0.724649612858963,0.3520238479105044,0.11529250690800048,0.00738998333823393,0.017435661998741248,-0.0026323125313729018,0.00021562285602272357,0.015124988253845839,-0.0020906519711884064,-0.007174360482211206,-0.0023106737448954084,0.0005416605601844954,42,2021,False
2,0,10,2529,633,0.6918019956955587,0.32618432388479535,0.11681911045323141,0.6909215417726474,0.3481395330556258,0.11633038675195993,0.683760516532968,0.3526953161758956,0.1158911640690388,-0.0008804539229112507,0.021955209170830436,-0.0004887237012714818,-0.008041479162590681,0.026510992291100266,-0.0009279463841926211,-0.0071610252396794305,0.00455578312026983,-0.0004392226829211393,42,2021,False
2,1,11,2529,633,0.6947742085661079,0.37596849019917283,0.1133145443628936,0.7016022656734947,0.39698787669984903,0.11347133846226026,0.6987701738050902,0.40532259813373467,0.11313581261355968,0.006828057107386765,0.021019386500676196,0.00015679409936666944,0.003995965238982269,0.029354107934561835,-0.00017873174933391578,-0.002832091868404496,0.008334721433885639,-0.0003355258487005852,42,2021,False
2,2,12,2530,632,0.6709791237871214,0.2921972390235539,0.11961003730431927,0.7290992845241595,0.33151673944918736,0.11736353681303514,0.7444281093795944,0.34101134394756843,0.1170023665426038,0.058120160737038074,0.03931950042563348,-0.002246500491284123,0.07344898559247293,0.048814104924014556,-0.002607670761715461,0.015328824855434853,0.009494604498381076,-0.000361170270431338,42,2021,False
2,3,13,2530,632,0.7096148191708321,0.32012689132638467,0.11797183610972972,0.7120846809761835,0.34569744927641133,0.11691993810838087,0.7083602861903362,0.3382806048979327,0.11810893145168401,0.002469861805351359,0.025570557950026662,-0.0010518980013488471,-0.001254532980495937,0.018153713571548047,0.00013709534195428807,-0.003724394785847296,-0.007416844378478615,0.0011889933433031352,42,2021,False
2,4,14,2530,632,0.6697245908066254,0.2935268845449669,0.12004301405374364,0.6857590904635892,0.32443105583455256,0.1190047090129432,0.6731353523473488,0.32029551697474257,0.11975895010251235,0.016034499656963797,0.03090417128958567,-0.0010383050408004357,0.003410761540723395,0.026768632429775674,-0.00028406395123128925,-0.012623738116240402,-0.004135538859809995,0.0007542410895691465,42,2021,False
3,0,15,2529,633,0.6733222461357856,0.28204176721295615,0.12297122269121853,0.7182547446683624,0.32444281780157863,0.11922007170802255,0.7175308158873018,0.3157760287096409,0.12027485419349118,0.04493249853257675,0.04240105058862248,-0.0037511509831959777,0.044208569751516213,0.033734261496684737,-0.00269636849772735,-0.0007239287810605344,-0.008666789091937743,0.0010547824854686277,42,2021,False
3,1,16,2529,633,0.6716907200496587,0.3059409219357752,0.11900965364921672,0.6703716635630044,0.3205493508544672,0.12101909230840932,0.6827281191806331,0.3322479137982723,0.11966812854651354,-0.001319056486654313,0.014608428918691962,0.0020094386591926056,0.011037399130974457,0.026306991862497076,0.0006584748972968263,0.01235645561762877,0.011698562943805113,-0.0013509637618957793,42,2021,False
3,2,17,2530,632,0.7259139468783691,0.3736366943152024,0.11411248359576923,0.758816034499657,0.40656592658344615,0.11056947727989377,0.7467607566402038,0.4044434388424893,0.11133717074129204,0.03290208762128788,0.032929232268243736,-0.003543006315875452,0.020846809761834728,0.030806744527286878,-0.0027753128544771855,-0.01205527785945315,-0.0021224877409568577,0.0007676934613982667,42,2021,False
3,3,18,2530,632,0.6891404488875821,0.32729181470733354,0.11636399700216231,0.6990689013035382,0.3546691203843597,0.11550207922976,0.6969714789767715,0.3522628895652088,0.11586809177611627,0.00992845241595608,0.027377305677026176,-0.0008619177724023125,0.007831030089189395,0.024971074857875253,-0.0004959052260460339,-0.0020974223267666847,-0.002406230819150923,0.00036601254635627856,42,2021,False
3,4,19,2530,632,0.6846907772223856,0.3340421795936115,0.11548088535145559,0.7048123101048711,0.357812232663683,0.11550373592712224,0.69842203273547,0.3528995951363201,0.11578711685247711,0.020121532882485527,0.023770053070071517,2.285057566664417e-05,0.013731255513084406,0.01885741554270859,0.00030623150102151997,-0.0063902773694011206,-0.004912637527362929,0.0002833809253548758,42,2021,False
4,0,20,2529,633,0.675582077871258,0.28567776444580706,0.12037151184477882,0.7184112698102133,0.33309685411019874,0.11716059916971393,0.7225591860692623,0.3470844311390806,0.11584468582217043,0.04282919193895529,0.04741908966439168,-0.003210912675064889,0.04697710819800427,0.06140666669327355,-0.004526826022608385,0.004147916259048978,0.01398757702888187,-0.0013159133475434959,42,2021,False
4,1,21,2529,633,0.6682475946617008,0.3101739162657275,0.1184375463675892,0.716441651148355,0.35438917034090006,0.11589909658713891,0.716286468032278,0.3581726430461499,0.11575948908255951,0.0481940564866542,0.04421525407517257,-0.002538449780450286,0.04803887337057722,0.047998726780422385,-0.002678057285029692,-0.00015518311607698454,0.003783472705249813,-0.00013960750457940596,42,2021,False
4,2,22,2530,632,0.7007252768793492,0.33115862415583164,0.11537822879744884,0.6826815642458101,0.33748980197418244,0.11764149263843361,0.6750563559737333,0.3317276907979096,0.11821878577378384,-0.0180437126335391,0.006331177818350797,0.0022632638409847694,-0.0256689209056159,0.0005690666420779533,0.002840556976334993,-0.0076252082720768,-0.005762111176272844,0.0005772931353502236,42,2021,False
4,3,23,2530,632,0.7618347544839752,0.44664602099916706,0.10929564625255912,0.7563265706164853,0.45297777311370957,0.10789486369214812,0.7683622463981182,0.45623272865442116,0.10749077090704648,-0.0055081838674898576,0.00633175211454251,-0.0014007825604109986,0.006527491914143035,0.0095867076552541,-0.0018048753455126437,0.012035675781632893,0.0032549555407115904,-0.00040409278510164515,42,2021,False
4,4,24,2530,632,0.641340782122905,0.2558038209484161,0.12472357806386117,0.6589434480054885,0.2884281717079637,0.12385762755505933,0.6503185337645789,0.2778749061282869,0.12495396096287029,0.017602665882583524,0.032624350759547616,-0.0008659505088018382,0.008977751641673914,0.02207108517987083,0.00023038289900911835,-0.008624914240909609,-0.010553265579676785,0.0010963334078109566,42,2021,False
