variable,present_in_file,missing_count,sentinel_count,nonusable_count,missing_pct,valid_count,valid_pct
AGEY3X,True,0,363,363,6.52,5202,93.48
SEX,True,0,0,0,0.0,5565,100.0
RACETHX,True,0,0,0,0.0,5565,100.0
REGIONY3,True,0,363,363,6.52,5202,93.48
MARRY6X,True,0,339,339,6.09,5226,93.91
RTHLTH6,True,0,375,375,6.74,5190,93.26
MNHLTH6,True,0,378,378,6.79,5187,93.21
INSCOVY3,True,0,310,310,5.57,5255,94.43
HAVEUS6,True,0,442,442,7.94,5123,92.06
POVCATY3,True,0,310,310,5.57,5255,94.43
TTLPY3X,True,0,310,312,5.61,5253,94.39
EMPST6,True,0,1212,1218,21.89,4347,78.11
ERTOTY1,True,0,113,113,2.03,5452,97.97
ERTOTY2,True,0,233,233,4.19,5332,95.81
ERTOTY3,True,0,310,310,5.57,5255,94.43
ERTOTY4,True,0,343,343,6.16,5222,93.84
