var_a,var_b,association_type,value
AGEY3X,SEX,point_biserial,0.0770560796655355
AGEY3X,RACETHX,correlation_ratio_eta,0.23835426556232417
AGEY3X,REGIONY3,correlation_ratio_eta,0.0590879180256808
AGEY3X,MARRY6X,correlation_ratio_eta,0.8098887379424079
AGEY3X,RTHLTH6,correlation_ratio_eta,0.307832214886588
AGEY3X,MNHLTH6,correlation_ratio_eta,0.14224268099011209
AGEY3X,INSCOVY3,correlation_ratio_eta,0.09942309399442943
AGEY3X,HAVEUS6,point_biserial,-0.11177746627998424
AGEY3X,POVCATY3,correlation_ratio_eta,0.09101222854943287
AGEY3X,TTLPY3X,pearson,0.2547829579450196
AGEY3X,TTLPY3X,spearman,0.42024491178361106
AGEY3X,EMPST6,correlation_ratio_eta,0.3734602536174087
AGEY3X,ERTOTY1,pearson,0.07179994269631919
AGEY3X,ERTOTY1,spearman,0.07580761501245373
AGEY3X,ERTOTY2,pearson,0.09163794923648935
AGEY3X,ERTOTY2,spearman,0.11001460856879279
AGEY3X,ERTOTY3,pearson,0.11343310917664469
AGEY3X,ERTOTY3,spearman,0.12080216350998209
SEX,RACETHX,cramers_v,0.04316739148999858
SEX,REGIONY3,cramers_v,0.029598462477677633
SEX,MARRY6X,cramers_v,0.17493469357761382
SEX,RTHLTH6,cramers_v,0.04865743052613244
SEX,MNHLTH6,cramers_v,0.05389859806592111
SEX,INSCOVY3,cramers_v,0.06900635190187765
SEX,HAVEUS6,cramers_v,0.08649255926736142
SEX,POVCATY3,cramers_v,0.09107475078658109
SEX,TTLPY3X,point_biserial,-0.09944681534712732
SEX,EMPST6,cramers_v,0.11838624895490119
SEX,ERTOTY1,point_biserial,0.061316375213814354
SEX,ERTOTY2,point_biserial,0.040117624181495774
SEX,ERTOTY3,point_biserial,0.052834216758416534
RACETHX,REGIONY3,cramers_v,0.18247902496824706
RACETHX,MARRY6X,cramers_v,0.14314369050219033
RACETHX,RTHLTH6,cramers_v,0.07036209969933174
RACETHX,MNHLTH6,cramers_v,0.08135577013186353
RACETHX,INSCOVY3,cramers_v,0.252860649627907
RACETHX,HAVEUS6,cramers_v,0.1399979389270049
RACETHX,POVCATY3,cramers_v,0.1783610016095782
RACETHX,TTLPY3X,correlation_ratio_eta,0.2623474286818599
RACETHX,EMPST6,cramers_v,0.06605416706793309
RACETHX,ERTOTY1,correlation_ratio_eta,0.10943248445436052
RACETHX,ERTOTY2,correlation_ratio_eta,0.10419725833688977
RACETHX,ERTOTY3,correlation_ratio_eta,0.07876707459372406
REGIONY3,MARRY6X,cramers_v,0.07181605594086042
REGIONY3,RTHLTH6,cramers_v,0.04523918581230275
REGIONY3,MNHLTH6,cramers_v,0.03947658753538049
REGIONY3,INSCOVY3,cramers_v,0.10259690790986707
REGIONY3,HAVEUS6,cramers_v,0.11006639302456683
REGIONY3,POVCATY3,cramers_v,0.08842089735422146
REGIONY3,TTLPY3X,correlation_ratio_eta,0.08714279725230067
REGIONY3,EMPST6,cramers_v,0.03933379615855664
REGIONY3,ERTOTY1,correlation_ratio_eta,0.01915113941809092
REGIONY3,ERTOTY2,correlation_ratio_eta,0.0366237890639681
REGIONY3,ERTOTY3,correlation_ratio_eta,0.04172331087751197
MARRY6X,RTHLTH6,cramers_v,0.1639521459320504
MARRY6X,MNHLTH6,cramers_v,0.1049246548774001
MARRY6X,INSCOVY3,cramers_v,0.21146335375573022
MARRY6X,HAVEUS6,cramers_v,0.2217392643712199
MARRY6X,POVCATY3,cramers_v,0.16276183132997032
MARRY6X,TTLPY3X,correlation_ratio_eta,0.38774291539723754
MARRY6X,EMPST6,cramers_v,0.18395497010314008
MARRY6X,ERTOTY1,correlation_ratio_eta,0.08732468615487153
MARRY6X,ERTOTY2,correlation_ratio_eta,0.12078390999243804
MARRY6X,ERTOTY3,correlation_ratio_eta,0.13744768386258813
RTHLTH6,MNHLTH6,cramers_v,0.45416487722629045
RTHLTH6,INSCOVY3,cramers_v,0.15765302011600354
RTHLTH6,HAVEUS6,cramers_v,0.06190858071948552
RTHLTH6,POVCATY3,cramers_v,0.11590754013884019
RTHLTH6,TTLPY3X,correlation_ratio_eta,0.14678345064335366
RTHLTH6,EMPST6,cramers_v,0.1438134207801781
RTHLTH6,ERTOTY1,correlation_ratio_eta,0.19441246571401538
RTHLTH6,ERTOTY2,correlation_ratio_eta,0.16391529121408996
RTHLTH6,ERTOTY3,correlation_ratio_eta,0.2084232173575417
MNHLTH6,INSCOVY3,cramers_v,0.14026342845937081
MNHLTH6,HAVEUS6,cramers_v,0.05448096536036039
MNHLTH6,POVCATY3,cramers_v,0.11774890193515888
MNHLTH6,TTLPY3X,correlation_ratio_eta,0.12129566428830335
MNHLTH6,EMPST6,cramers_v,0.1038630917220546
MNHLTH6,ERTOTY1,correlation_ratio_eta,0.10771240372192964
MNHLTH6,ERTOTY2,correlation_ratio_eta,0.1144859821534455
MNHLTH6,ERTOTY3,correlation_ratio_eta,0.11163277288256891
INSCOVY3,HAVEUS6,cramers_v,0.33017766774600216
INSCOVY3,POVCATY3,cramers_v,0.3859304683570322
INSCOVY3,TTLPY3X,correlation_ratio_eta,0.372352732812727
INSCOVY3,EMPST6,cramers_v,0.3190426161460761
INSCOVY3,ERTOTY1,correlation_ratio_eta,0.1483881952661282
INSCOVY3,ERTOTY2,correlation_ratio_eta,0.11998406999564933
INSCOVY3,ERTOTY3,correlation_ratio_eta,0.13492277988657564
HAVEUS6,POVCATY3,cramers_v,0.07298036522083821
HAVEUS6,TTLPY3X,point_biserial,-0.006853458817828447
HAVEUS6,EMPST6,cramers_v,0.14225410835621802
HAVEUS6,ERTOTY1,point_biserial,-0.0675844187002878
HAVEUS6,ERTOTY2,point_biserial,-0.038316812278875616
HAVEUS6,ERTOTY3,point_biserial,-0.047385458805696896
POVCATY3,TTLPY3X,correlation_ratio_eta,0.5975050414578339
POVCATY3,EMPST6,cramers_v,0.2400323939346956
POVCATY3,ERTOTY1,correlation_ratio_eta,0.14334325344292234
POVCATY3,ERTOTY2,correlation_ratio_eta,0.11179409476012904
POVCATY3,ERTOTY3,correlation_ratio_eta,0.11562935866464179
TTLPY3X,EMPST6,correlation_ratio_eta,0.4245625964538575
TTLPY3X,ERTOTY1,pearson,-0.08305501916966727
TTLPY3X,ERTOTY1,spearman,-0.07685506518666058
TTLPY3X,ERTOTY2,pearson,-0.06151282085091373
TTLPY3X,ERTOTY2,spearman,-0.05081806449946412
TTLPY3X,ERTOTY3,pearson,-0.05764710399053216
TTLPY3X,ERTOTY3,spearman,-0.04667974620887774
EMPST6,ERTOTY1,correlation_ratio_eta,0.13489102267183534
EMPST6,ERTOTY2,correlation_ratio_eta,0.1308023741031401
EMPST6,ERTOTY3,correlation_ratio_eta,0.0984057632810503
ERTOTY1,ERTOTY2,pearson,0.2915894554944586
ERTOTY1,ERTOTY2,spearman,0.2579126423224247
ERTOTY1,ERTOTY3,pearson,0.23499402263692523
ERTOTY1,ERTOTY3,spearman,0.23282989732534534
ERTOTY2,ERTOTY3,pearson,0.19824329751223324
ERTOTY2,ERTOTY3,spearman,0.21628741988874636
