design_column,source_variable,VIF
num__AGEY3X,AGEY3X,3.6814319417618697
num__TTLPY3X,TTLPY3X,2.0687214815077035
num__ERTOTY1,ERTOTY1,1.1818102145091145
num__ERTOTY2,ERTOTY2,1.1433810778578732
num__ERTOTY3,ERTOTY3,1.1351686797553981
cat__SEX_1.0,SEX,inf
cat__SEX_2.0,SEX,inf
cat__RACETHX_1.0,RACETHX,inf
cat__RACETHX_2.0,RACETHX,inf
cat__RACETHX_3.0,RACETHX,inf
cat__RACETHX_4.0,RACETHX,inf
cat__RACETHX_5.0,RACETHX,inf
cat__REGIONY3_1.0,REGIONY3,inf
cat__REGIONY3_2.0,REGIONY3,inf
cat__REGIONY3_3.0,REGIONY3,inf
cat__REGIONY3_4.0,REGIONY3,inf
cat__MARRY6X_1.0,MARRY6X,inf
cat__MARRY6X_2.0,MARRY6X,inf
cat__MARRY6X_3.0,MARRY6X,inf
cat__MARRY6X_4.0,MARRY6X,inf
cat__MARRY6X_5.0,MARRY6X,inf
cat__MARRY6X_6.0,MARRY6X,inf
cat__MARRY6X_7.0,MARRY6X,inf
cat__MARRY6X_8.0,MARRY6X,inf
cat__MARRY6X_9.0,MARRY6X,inf
cat__MARRY6X_10.0,MARRY6X,inf
cat__RTHLTH6_1.0,RTHLTH6,inf
cat__RTHLTH6_2.0,RTHLTH6,inf
cat__RTHLTH6_3.0,RTHLTH6,inf
cat__RTHLTH6_4.0,RTHLTH6,inf
cat__RTHLTH6_5.0,RTHLTH6,inf
cat__MNHLTH6_1.0,MNHLTH6,inf
cat__MNHLTH6_2.0,MNHLTH6,inf
cat__MNHLTH6_3.0,MNHLTH6,inf
cat__MNHLTH6_4.0,MNHLTH6,inf
cat__MNHLTH6_5.0,MNHLTH6,inf
cat__INSCOVY3_1.0,INSCOVY3,inf
cat__INSCOVY3_2.0,INSCOVY3,inf
cat__INSCOVY3_3.0,INSCOVY3,inf
cat__HAVEUS6_1.0,HAVEUS6,inf
cat__HAVEUS6_2.0,HAVEUS6,inf
cat__POVCATY3_1.0,POVCATY3,inf
cat__POVCATY3_2.0,POVCATY3,inf
cat__POVCATY3_3.0,POVCATY3,inf
cat__POVCATY3_4.0,POVCATY3,inf
cat__POVCATY3_5.0,POVCATY3,inf
cat__EMPST6_1.0,EMPST6,inf
cat__EMPST6_2.0,EMPST6,inf
cat__EMPST6_3.0,EMPST6,inf
cat__EMPST6_4.0,EMPST6,inf
