design_column,source_variable,VIF,encoding,role
num__AGEY3X,AGEY3X,3.6814319417618684,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
num__TTLPY3X,TTLPY3X,2.0687214815077035,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
num__ERTOTY1,ERTOTY1,1.1818102145091145,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
num__ERTOTY2,ERTOTY2,1.1433810778578732,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
num__ERTOTY3,ERTOTY3,1.1351686797553981,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__SEX_2.0,SEX,1.0668193056931894,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RACETHX_2.0,RACETHX,1.875107448895849,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RACETHX_3.0,RACETHX,1.5275896842552568,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RACETHX_4.0,RACETHX,1.2130269082851017,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RACETHX_5.0,RACETHX,1.129480931907647,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__REGIONY3_2.0,REGIONY3,1.784507012510931,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__REGIONY3_3.0,REGIONY3,2.1908896391731125,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__REGIONY3_4.0,REGIONY3,2.013991978194746,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_2.0,MARRY6X,1.3419856697381587,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_3.0,MARRY6X,1.2927302384881352,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_4.0,MARRY6X,1.0871814913685485,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_5.0,MARRY6X,1.8299647877697423,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_6.0,MARRY6X,3.450338255287451,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_7.0,MARRY6X,1.023588317167942,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_8.0,MARRY6X,1.0162162792566234,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_9.0,MARRY6X,1.0235554669480567,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MARRY6X_10.0,MARRY6X,1.0320020030758248,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RTHLTH6_2.0,RTHLTH6,2.1831284143757856,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RTHLTH6_3.0,RTHLTH6,2.6543519768377637,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RTHLTH6_4.0,RTHLTH6,2.070382674189289,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__RTHLTH6_5.0,RTHLTH6,1.4378587838060521,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MNHLTH6_2.0,MNHLTH6,1.9594589062904653,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MNHLTH6_3.0,MNHLTH6,2.342012987630573,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MNHLTH6_4.0,MNHLTH6,1.759338750390509,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__MNHLTH6_5.0,MNHLTH6,1.2153587462010633,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__INSCOVY3_2.0,INSCOVY3,1.6823201865613528,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__INSCOVY3_3.0,INSCOVY3,1.342462398044202,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__HAVEUS6_2.0,HAVEUS6,1.2190353752034988,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__POVCATY3_2.0,POVCATY3,1.2526173023732265,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__POVCATY3_3.0,POVCATY3,1.5925088721577,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__POVCATY3_4.0,POVCATY3,2.148549772931902,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__POVCATY3_5.0,POVCATY3,3.4010374290125855,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__EMPST6_2.0,EMPST6,1.0424338065439256,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__EMPST6_3.0,EMPST6,1.0631149280005319,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
cat__EMPST6_4.0,EMPST6,1.9562144236358092,one_hot_drop_first,descriptive_only_not_used_for_predictor_removal
