repeat,fold,fold_index,n_cv_train,n_cv_val,val_prevalence,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,delta_roc_auc,delta_pr_auc,delta_brier,holdout_seed,cv_random_state,n_splits,n_repeats,holdout_used
0,0,0,3064,767,0.13559322033898305,0.6386979347952197,0.2688798083348796,0.10976634154730357,0.7065712379626405,0.31983815381940783,0.10747142608738543,0.0678733031674208,0.05095834548452821,-0.00229491545991814,42,2021,5,5,False
0,1,1,3065,766,0.13577023498694518,0.6833604462003254,0.29311774979749117,0.10935192663249017,0.7496877178712527,0.36150493388773636,0.10470588970674546,0.06632727167092722,0.06838718409024519,-0.004646036925744709,42,2021,5,5,False
0,2,2,3065,766,0.13577023498694518,0.6669983151289798,0.26026541663970004,0.11123232488742332,0.677870090634441,0.2905351541563251,0.11174849765690834,0.010871775505461256,0.03026973751662504,0.0005161727694850127,42,2021,5,5,False
0,3,3,3065,766,0.13577023498694518,0.7000203346502442,0.36640716052430033,0.10234474166205203,0.7347344875668138,0.3961238385643026,0.10169676626399485,0.03471415291656965,0.029716678040002276,-0.0006479753980571795,42,2021,5,5,False
0,4,4,3065,766,0.13577023498694518,0.7295491517545898,0.3393880312426882,0.10567459306644324,0.729113409249361,0.37925539719889356,0.10332132045484207,-0.00043574250522881997,0.03986736595620538,-0.002353272611601162,42,2021,5,5,False
1,0,5,3064,767,0.13559322033898305,0.7197543218470821,0.358444390884489,0.10424236435870586,0.7348590323703446,0.3582060427264369,0.10412756781810567,0.015104710523262455,-0.00023834815805207077,-0.00011479654060018996,42,2021,5,5,False
1,1,6,3065,766,0.13577023498694518,0.6332791075993492,0.2793562225784019,0.10849432982122566,0.6762287938647455,0.32847146628850465,0.10739355462482748,0.0429496862653963,0.04911524371010273,-0.0011007751963981738,42,2021,5,5,False
1,2,7,3065,766,0.13577023498694518,0.7055324773413897,0.3218886150839449,0.1061033929305866,0.7323960027887519,0.3499055018690477,0.10450421295065755,0.026863525447362258,0.02801688678510278,-0.0015991799799290468,42,2021,5,5,False
1,3,8,3065,766,0.13577023498694518,0.7050386358354637,0.3228365489724573,0.10650326596410732,0.7327082849174995,0.36317424661982245,0.10351682516190858,0.02766964908203584,0.04033769764736517,-0.002986440802198745,42,2021,5,5,False
1,4,9,3065,766,0.13577023498694518,0.6601426330467116,0.25823074094692455,0.11320601930242583,0.6837526144550313,0.30423589074042556,0.11006867287277612,0.023609981408319713,0.04600514979350101,-0.003137346429649704,42,2021,5,5,False
2,0,10,3064,767,0.13559322033898305,0.6696615036547162,0.30282954143766044,0.10808230219814435,0.6821266968325792,0.32765788425512343,0.10741005052190246,0.012465193177862988,0.02482834281746299,-0.0006722516762418945,42,2021,5,5,False
2,1,11,3065,766,0.13577023498694518,0.6827068324424821,0.26510421559506225,0.11268651387097574,0.7265788403439462,0.3241249382968681,0.10827043974299017,0.04387200790146406,0.05902072270180586,-0.0044160741279855725,42,2021,5,5,False
2,2,12,3065,766,0.13577023498694518,0.6846749360910993,0.3435388430424595,0.1040506644517957,0.6947768998373228,0.3510198228398436,0.10543569844048778,0.010101963746223519,0.007480979797384102,0.0013850339886920804,42,2021,5,5,False
2,3,13,3065,766,0.13577023498694518,0.7136735998140832,0.3051319052814599,0.1082801631338239,0.7338775273065303,0.34338953509584025,0.10529564812870972,0.02020392749244715,0.038257629814380356,-0.00298451500511418,42,2021,5,5,False
2,4,14,3065,766,0.13577023498694518,0.679337090402045,0.33542053377198855,0.10507529833542066,0.703346502440158,0.33829301672381556,0.10637941203677374,0.02400941203811291,0.0028724829518270156,0.0013041137013530824,42,2021,5,5,False
3,0,15,3064,767,0.13559322033898305,0.6276757744517926,0.242358845355446,0.11212979286487262,0.6781674208144797,0.2823092216710106,0.11080376707988705,0.050491646362687104,0.039950376315564584,-0.0013260257849855711,42,2021,5,5,False
3,1,16,3065,766,0.13577023498694518,0.7030269579363235,0.31806596508657814,0.1071429805837966,0.7399779223797349,0.37441823852264494,0.10286963800326955,0.036950964443411394,0.0563522734360668,-0.0042733425805270425,42,2021,5,5,False
