n,mean,std,median,min,max,p2_5,p97_5,metric
25,0.6847835207573796,0.03267775458557064,0.6846749360910993,0.6163069370206833,0.7322870671624448,0.6231282394793488,0.7306443179177318,ed_history_roc_auc
25,0.30672020599677424,0.03583897899819776,0.3170522335203517,0.242358845355446,0.36640716052430033,0.24434671699869184,0.3616294987404135,ed_history_pr_auc
25,0.10765230119857674,0.0030021592498057754,0.1071429805837966,0.10234474166205203,0.11320601930242583,0.10336829533589822,0.11289431604355578,ed_history_brier
25,0.7143224863462966,0.02565132287054293,0.7218365094120381,0.6762287938647455,0.7668958115790694,0.6772135719265628,0.7565709553543793,full_roc_auc
25,0.34262269949055246,0.03501849612277063,0.34338953509584025,0.2823092216710106,0.4046178334284809,0.28724478116219926,0.4035580415577351,full_pr_auc
25,0.10598264699177033,0.003106636199189763,0.10543569844048778,0.1001641357259249,0.11174849765690834,0.10100485909666072,0.11118165931069557,full_brier
25,0.029538965588917047,0.022503688472089983,0.02400941203811291,-0.010450557750406708,0.0778018243086217,-0.004441668603299974,0.07184471162390114,delta_roc_auc_full_minus_ed
25,0.035902493493778144,0.019697956842668427,0.03986736595620538,-0.00023834815805207077,0.06838718409024519,0.0016281505078753814,0.06377875692542538,delta_pr_auc_full_minus_ed
25,-0.0016696542068064101,0.0018739347511348035,-0.0015991799799290468,-0.0046840136082537814,0.0013850339886920804,-0.004661227598748338,0.0013364818162886814,delta_brier_full_minus_ed
25,23.0,,23.0,23.0,23.0,,,n_folds_positive_delta_roc_auc
25,24.0,,24.0,24.0,24.0,,,n_folds_positive_delta_pr_auc
25,19.0,,19.0,19.0,19.0,,,n_folds_brier_improved
25,,,,,,,,note
