repeat,fold,fold_index,n_cv_train,n_cv_val,val_prevalence,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,delta_roc_auc,delta_pr_auc,delta_brier,cv_random_state,n_splits,n_repeats
0,0,0,2529,633,0.1500789889415482,0.70344355312072,0.3532624397241839,0.11474820601972983,0.7062218743885736,0.37609521463168016,0.11374837001976698,0.0027783212678536007,0.022832774907496245,-0.000999835999962853,2021,5,5
0,1,1,2529,633,0.15165876777251186,0.6955210273122284,0.35063195367716044,0.11530984344510865,0.7547524829298571,0.42662403303682295,0.10974627995895961,0.05923145561762866,0.07599207935966251,-0.005563563486149045,2021,5,5
0,2,2,2530,632,0.15031645569620253,0.7039106145251397,0.3388937051557968,0.11572517237212143,0.7431931784769186,0.3896298370582277,0.11231813479631451,0.03928256395177887,0.05073613190243087,-0.0034070375758069177,2021,5,5
0,3,3,2530,632,0.15031645569620253,0.6531020288150544,0.27451362497349185,0.1223540297938798,0.6815054395765952,0.2911445319551593,0.12242302155902926,0.028403410761540737,0.01663090698166747,6.899176514946204e-05,2021,5,5
0,4,4,2530,632,0.15031645569620253,0.6827795746349113,0.3051634551051827,0.11849029450081706,0.6683328432813879,0.32506803395908124,0.11910944114997847,-0.014446731353523479,0.019904578853898514,0.0006191466491614062,2021,5,5
1,0,5,2529,633,0.1500789889415482,0.6616806887106241,0.30366874428125173,0.11821973018675548,0.6841322637448639,0.3501753633734825,0.11582069046849458,0.02245157503423978,0.04650661909223075,-0.002399039718260901,2021,5,5
1,1,6,2529,633,0.15165876777251186,0.6573944754810677,0.3147330712620568,0.11813361067850785,0.6910110180012415,0.35440340445392,0.11720097019467385,0.033616542520173875,0.039670333191863194,-0.0009326404838339991,2021,5,5
1,2,7,2530,632,0.15031645569620253,0.7368911104577085,0.38416609571914145,0.11089855922024576,0.7363912574732923,0.384320572039874,0.11197425449181136,-0.000499852984416238,0.00015447632073256612,0.0010756952715656048,2021,5,5
1,3,8,2530,632,0.15031645569620253,0.6625600313633244,0.27539610317824037,0.12268019667340434,0.6951484857394883,0.31733292852036743,0.11914139263595415,0.03258845437616387,0.04193682534212706,-0.0035388040374501883,2021,5,5
1,4,9,2530,632,0.15031645569620253,0.7244339900029403,0.33689885965665856,0.11738315887918889,0.7318239733411742,0.3543345216553998,0.11475084634781599,0.00738998333823393,0.017435661998741248,-0.0026323125313729018,2021,5,5
2,0,10,2529,633,0.1500789889415482,0.6918019956955587,0.32618432388479535,0.11681911045323141,0.6909215417726474,0.3481395330556258,0.11633038675195993,-0.0008804539229112507,0.021955209170830436,-0.0004887237012714818,2021,5,5
2,1,11,2529,633,0.15165876777251186,0.6947742085661079,0.37596849019917283,0.1133145443628936,0.7016022656734947,0.39698787669984903,0.11347133846226026,0.006828057107386765,0.021019386500676196,0.00015679409936666944,2021,5,5
2,2,12,2530,632,0.15031645569620253,0.6709791237871214,0.2921972390235539,0.11961003730431927,0.7290992845241595,0.33151673944918736,0.11736353681303514,0.058120160737038074,0.03931950042563348,-0.002246500491284123,2021,5,5
2,3,13,2530,632,0.15031645569620253,0.7096148191708321,0.32012689132638467,0.11797183610972972,0.7120846809761835,0.34569744927641133,0.11691993810838087,0.002469861805351359,0.025570557950026662,-0.0010518980013488471,2021,5,5
2,4,14,2530,632,0.15031645569620253,0.6697245908066254,0.2935268845449669,0.12004301405374364,0.6857590904635892,0.32443105583455256,0.1190047090129432,0.016034499656963797,0.03090417128958567,-0.0010383050408004357,2021,5,5
3,0,15,2529,633,0.1500789889415482,0.6733222461357856,0.28204176721295615,0.12297122269121853,0.7182547446683624,0.32444281780157863,0.11922007170802255,0.04493249853257675,0.04240105058862248,-0.0037511509831959777,2021,5,5
3,1,16,2529,633,0.15165876777251186,0.6716907200496587,0.3059409219357752,0.11900965364921672,0.6703716635630044,0.3205493508544672,0.12101909230840932,-0.001319056486654313,0.014608428918691962,0.0020094386591926056,2021,5,5
3,2,17,2530,632,0.15031645569620253,0.7259139468783691,0.3736366943152024,0.11411248359576923,0.758816034499657,0.40656592658344615,0.11056947727989377,0.03290208762128788,0.032929232268243736,-0.003543006315875452,2021,5,5
3,3,18,2530,632,0.15031645569620253,0.6891404488875821,0.32729181470733354,0.11636399700216231,0.6990689013035382,0.3546691203843597,0.11550207922976,0.00992845241595608,0.027377305677026176,-0.0008619177724023125,2021,5,5
3,4,19,2530,632,0.15031645569620253,0.6846907772223856,0.3340421795936115,0.11548088535145559,0.7048123101048711,0.357812232663683,0.11550373592712224,0.020121532882485527,0.023770053070071517,2.285057566664417e-05,2021,5,5
4,0,20,2529,633,0.1500789889415482,0.675582077871258,0.28567776444580706,0.12037151184477882,0.7184112698102133,0.33309685411019874,0.11716059916971393,0.04282919193895529,0.04741908966439168,-0.003210912675064889,2021,5,5
4,1,21,2529,633,0.15165876777251186,0.6682475946617008,0.3101739162657275,0.1184375463675892,0.716441651148355,0.35438917034090006,0.11589909658713891,0.0481940564866542,0.04421525407517257,-0.002538449780450286,2021,5,5
