repeat,fold,fold_index,n_cv_train,n_cv_val,val_prevalence,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,delta_roc_auc,delta_pr_auc,delta_brier,cv_random_state,n_splits,n_repeats
0,0,0,2930,733,0.1364256480218281,0.7076382306477094,0.3354280639080196,0.1051807201398799,0.7351658767772512,0.36689600038135173,0.10442200049415366,0.02752764612954184,0.031467936473332125,-0.0007587196457262413,2021,5,5
0,1,1,2930,733,0.1377899045020464,0.6916280235618498,0.3048501710744457,0.10889719819475673,0.7108503571876176,0.34990682669253925,0.10615384099563344,0.01922233362576775,0.04505665561809358,-0.002743357199123289,2021,5,5
0,2,2,2930,733,0.1377899045020464,0.6672907005890463,0.3220079927753216,0.10729535965125105,0.708124451685675,0.38394369288823327,0.10401339032750809,0.04083375109662868,0.06193570011291166,-0.0032819693237429587,2021,5,5
0,3,3,2931,732,0.1366120218579235,0.6594303797468355,0.2529444945185592,0.11446921065831774,0.6843829113924049,0.28320787456178265,0.11266463251380919,0.02495253164556943,0.03026338004322343,-0.0018045781445085451,2021,5,5
0,4,4,2931,732,0.1366120218579235,0.6911708860759493,0.2941906019978733,0.10854551796686708,0.7313291139240505,0.33567403161381204,0.10616581583952894,0.04015822784810119,0.04148342961593876,-0.0023797021273381375,2021,5,5
1,0,5,2930,733,0.1364256480218281,0.6601421800947868,0.26351357484969323,0.11334587014700542,0.6799052132701422,0.2975158980758767,0.11173264303984774,0.019763033175355438,0.03400232322618346,-0.0016132271071576804,2021,5,5
1,1,6,2930,733,0.1377899045020464,0.6693351297155034,0.2901682955702958,0.11017656897361132,0.7030642937711492,0.301132143705743,0.1108907878089824,0.033729164055645855,0.010963848135447207,0.0007142188353710804,2021,5,5
1,2,7,2930,733,0.1377899045020464,0.6857218949743076,0.2980245444770804,0.11034170904174628,0.7058685298909639,0.3225980560373261,0.10904053101232937,0.02014663491665636,0.02457351156024573,-0.0013011780294169134,2021,5,5
1,3,8,2931,732,0.1366120218579235,0.7008623417721518,0.3872065580784846,0.10252615699573218,0.7517088607594936,0.43450575480641435,0.09952000557378897,0.05084651898734183,0.04729919672792976,-0.003006151421943215,2021,5,5
1,4,9,2931,732,0.1366120218579235,0.7089636075949368,0.3127932495565902,0.10767080240404917,0.7539715189873418,0.3838420692500204,0.10227044225398889,0.04500791139240501,0.07104881969343019,-0.005400360150060277,2021,5,5
2,0,10,2930,733,0.1364256480218281,0.6345576619273301,0.2644384139763669,0.11118199257866919,0.7150710900473933,0.33884212891181,0.10707096727188967,0.08051342812006324,0.07440371493544307,-0.004111025306779523,2021,5,5
2,1,11,2930,733,0.1377899045020464,0.6747791076576013,0.3192302708888472,0.1078001463595857,0.6918943476626142,0.3194122674565042,0.10932894929599378,0.017115240005012855,0.00018199656765699457,0.0015288029364080857,2021,5,5
2,2,12,2930,733,0.1377899045020464,0.7052732171951372,0.33558425829844374,0.10678449159005286,0.7266183105652338,0.3808571105678922,0.10449480163170316,0.0213450933700966,0.04527285226944844,-0.0022896899583497027,2021,5,5
2,3,13,2931,732,0.1366120218579235,0.6863370253164558,0.28749778497593315,0.11007516117317113,0.7299525316455697,0.35258173638943757,0.1055697745470836,0.04361550632911393,0.06508395141350443,-0.004505386626087529,2021,5,5
2,4,14,2931,732,0.1366120218579235,0.7223338607594937,0.3206585104154457,0.10768460966241562,0.7246993670886077,0.3265348459404895,0.10842269890828747,0.002365506329114031,0.0058763355250437965,0.000738089245871848,2021,5,5
3,0,15,2930,733,0.1364256480218281,0.7280884676145338,0.3386213541008088,0.10627496395873806,0.7073933649289099,0.3250215169053319,0.10782313632137167,-0.020695102685623912,-0.013599837195476916,0.0015481723626336041,2021,5,5
3,1,16,2930,733,0.1377899045020464,0.6502381250783307,0.2762796631346285,0.111339165002809,0.7290700589046245,0.33628792679101593,0.1072968840007057,0.07883193382629383,0.06000826365638745,-0.004042281002103312,2021,5,5
3,2,17,2930,733,0.1377899045020464,0.705798032334879,0.3253665513917855,0.10814589485753087,0.7218479759368341,0.3583463296671536,0.10657742175140375,0.016049943601955108,0.03297977827536808,-0.0015684731061271218,2021,5,5
3,3,18,2931,732,0.1366120218579235,0.6542325949367088,0.26108164986492916,0.11245134321242563,0.6814398734177215,0.2838339192550479,0.11325148549616532,0.027207278481012676,0.022752269390118762,0.0008001422837396882,2021,5,5
3,4,19,2931,732,0.1366120218579235,0.6817325949367088,0.3214964096216359,0.10644866416068528,0.706867088607595,0.37036043448916095,0.1044363737545336,0.02513449367088616,0.04886402486752506,-0.0020122904061516816,2021,5,5
4,0,20,2930,733,0.1364256480218281,0.6737203791469194,0.2971143007391156,0.10874340939642925,0.7157503949447078,0.33371766715379625,0.10684194282884664,0.04203001579778842,0.03660336641468065,-0.0019014665675826103,2021,5,5
4,1,21,2930,733,0.1377899045020464,0.6979963027948365,0.3092061517916031,0.10875461751245559,0.7632692066675023,0.39488540304193237,0.10279695019960594,0.06527290387266582,0.08567925125032927,-0.005957667312849649,2021,5,5
4,2,22,2930,733,0.1377899045020464,0.6671497054768767,0.31344450684179403,0.10780431815829575,0.6998840706855496,0.3551927534038141,0.10634405665591817,0.0327343652086729,0.041748246562020086,-0.0014602615023775745,2021,5,5
4,3,23,2931,732,0.1366120218579235,0.6857753164556961,0.2649621226065369,0.11226491512018011,0.6967405063291139,0.27544716413830367,0.11345714015583858,0.010965189873417769,0.01048504153176677,0.0011922250356584674,2021,5,5
4,4,24,2931,732,0.1366120218579235,0.6994382911392405,0.34264420340735,0.1044719886282032,0.713496835443038,0.3800296586409718,0.1026081808913764,0.014058544303797493,0.0373854552336218,-0.001863807736826803,2021,5,5
