family,contrast_id,contrast,metric,n_estimates,n_repeats,n_splits,df,test_train_ratio,mean_difference,sample_variance,corrected_variance,corrected_se,t_statistic,raw_p_value,holm_adjusted_p_value,significant_at_0.05,direction,source_file,source_column
A,A1,Full − ED-history,roc_auc,25,5,5,24,0.2500000212966237,0.029538965588917016,0.0005064159948488756,0.00014686064929112479,0.012118607564036587,2.437488418766643,0.02257265024089372,,True,Full better than ED-history,repeated_cv_metrics.csv,delta_roc_auc
A,A1,Full − ED-history,pr_auc,25,5,5,24,0.2500000212966237,0.03590249349377811,0.0003880095037756275,0.00011252276435822434,0.010607674785655165,3.384577131109761,0.002448632579066552,,True,Full better than ED-history,repeated_cv_metrics.csv,delta_pr_auc
A,A1,Full − ED-history,brier,25,5,5,24,0.2500000212966237,-0.0016696542068063728,3.511631451510544e-06,1.0183731957239511e-06,0.0010091447843218293,-1.6545239421996543,0.11104215575277274,,False,Full better (lower Brier) than ED-history,repeated_cv_metrics.csv,delta_brier
B,B1,No-age − Full,roc_auc,25,5,5,24,0.2500000212966237,-0.005147734016290127,4.9863808216696456e-05,1.446050544477273e-05,0.003802697127667773,-1.3537060258720308,0.1884422948920229,0.8720211883734321,False,Full better than reduced model,age_ablation_cv.csv,delta_roc_noage_minus_full
B,B1,No-age − Full,pr_auc,25,5,5,24,0.2500000212966237,-0.0017289503416556679,7.236375769777879e-05,2.0985491273459562e-05,0.004580992389587606,-0.37741829599749954,0.709179775927823,1.0,False,Full better than reduced model,age_ablation_cv.csv,delta_pr_noage_minus_full
B,B1,No-age − Full,brier,25,5,5,24,0.2500000212966237,0.000172483011265432,4.848691358153991e-07,1.4061205971254126e-07,0.0003749827458864491,0.4599758606430992,0.6496735684132091,1.0,False,Full better (lower Brier) than reduced model,age_ablation_cv.csv,delta_brier_noage_minus_full
B,B2,No-demographics − Full,roc_auc,25,5,5,24,0.2500000212966237,0.006221729096365104,6.813486586200358e-05,1.9759112551023634e-05,0.004445122332515004,1.399675561424856,0.17440423767468644,0.8720211883734321,False,reduced model better than Full,demographic_ablation_cv.csv,delta_roc_nodemo_minus_full
B,B2,No-demographics − Full,pr_auc,25,5,5,24,0.2500000212966237,-0.0001893474819614839,8.712792923744371e-05,2.5267101334389397e-05,0.005026639168906935,-0.03766880326973188,0.9702633311391656,1.0,False,Full better than reduced model,demographic_ablation_cv.csv,delta_pr_nodemo_minus_full
B,B2,No-demographics − Full,brier,25,5,5,24,0.2500000212966237,1.4714364321109009e-05,6.024221215900996e-07,1.747024280906861e-07,0.00041797419548422613,0.03520400177829713,0.972208238902473,1.0,False,Full better (lower Brier) than reduced model,demographic_ablation_cv.csv,delta_brier_nodemo_minus_full
B,B3,No-health − Full,roc_auc,25,5,5,24,0.2500000212966237,0.004866307890002024,0.00010132709282513695,2.938485907721468e-05,0.005420780301507771,0.8977135429466635,0.37825609665883725,1.0,False,reduced model better than Full,health_ablation_cv.csv,delta_roc_nohealth_minus_full
B,B3,No-health − Full,pr_auc,25,5,5,24,0.2500000212966237,0.004235535150466565,8.582268418824497e-05,2.4888580242324447e-05,0.00498884558212864,0.8490010525960893,0.404269936162473,1.0,False,reduced model better than Full,health_ablation_cv.csv,delta_pr_nohealth_minus_full
B,B3,No-health − Full,brier,25,5,5,24,0.2500000212966237,-0.00036731961399288313,7.310914562151109e-07,2.1201653787216177e-07,0.000460452535960181,-0.7977361080809602,0.43284621367471765,1.0,False,reduced model better (lower Brier) than Full,health_ablation_cv.csv,delta_brier_nohealth_minus_full
B,B4,No-access − Full,roc_auc,25,5,5,24,0.2500000212966237,-0.0017827393564908791,1.511320374474663e-05,4.382829407836735e-06,0.0020935208161937955,-0.8515508146377334,0.4028806242000385,1.0,False,Full better than reduced model,access_ablation_cv.csv,delta_roc_noaccess_minus_full
B,B4,No-access − Full,pr_auc,25,5,5,24,0.2500000212966237,-0.0016511423356955137,1.7990190204663203e-05,5.217155542482639e-06,0.002284109354317923,-0.7228823491196529,0.47673835001842485,1.0,False,Full better than reduced model,access_ablation_cv.csv,delta_pr_noaccess_minus_full
B,B4,No-access − Full,brier,25,5,5,24,0.2500000212966237,0.0002000145979154752,9.178579170376608e-08,2.6617881548819628e-08,0.0001631498744983263,1.2259561861785377,0.2321090127334337,0.9284360509337348,False,Full better (lower Brier) than reduced model,access_ablation_cv.csv,delta_brier_noaccess_minus_full
B,B5,No-SES − Full,roc_auc,25,5,5,24,0.2500000212966237,0.0018852337052019641,2.940554395678545e-05,8.527608373706584e-06,0.002920206905975428,0.6455822364313754,0.5246747311026475,1.0,False,reduced model better than Full,ses_ablation_cv.csv,delta_roc_noses_minus_full
B,B5,No-SES − Full,pr_auc,25,5,5,24,0.2500000212966237,0.006526431501973296,6.316992815026051e-05,1.8319280508881736e-05,0.00428010286195107,1.524830526852863,0.14037198379937163,0.7018599189968582,False,reduced model better than Full,ses_ablation_cv.csv,delta_pr_noses_minus_full
B,B5,No-SES − Full,brier,25,5,5,24,0.2500000212966237,-0.0005683065739926704,5.33493218971301e-07,1.547130448632816e-07,0.00039333579148519095,-1.444838192443179,0.16143400321165577,0.8071700160582789,False,reduced model better (lower Brier) than Full,ses_ablation_cv.csv,delta_brier_noses_minus_full
