family,contrast_id,contrast,metric,n_estimates,n_repeats,n_splits,df,test_train_ratio,mean_difference,sample_variance,corrected_variance,corrected_se,t_statistic,raw_p_value,holm_adjusted_p_value,significant_at_0.05,direction,source_file,source_column,ci_method,ci_alpha,ci_lower,ci_upper,sign_convention
A,A1,Full − ED-history,roc_auc,25,5,5,24,0.2500000212966237,0.029538965588917,0.0005064159948488,0.0001468606492911,0.0121186075640365,2.437488418766643,0.0225726502408937,,True,Full better than ED-history,repeated_cv_metrics.csv,delta_roc_auc,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,0.004527388868567569,0.054550542309266425,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
A,A1,Full − ED-history,pr_auc,25,5,5,24,0.2500000212966237,0.0359024934937781,0.0003880095037756,0.0001125227643582,0.0106076747856551,3.384577131109761,0.0024486325790665,,True,Full better than ED-history,repeated_cv_metrics.csv,delta_pr_auc,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,0.014009328761446678,0.05779565822610953,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
A,A1,Full − ED-history,brier,25,5,5,24,0.2500000212966237,-0.0016696542068063,3.511631451510544e-06,1.0183731957239511e-06,0.0010091447843218,-1.6545239421996545,0.1110421557527727,,False,Full better (lower Brier) than ED-history,repeated_cv_metrics.csv,delta_brier,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.003752426675642486,0.00041311826202988615,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B1,No-age − Full,roc_auc,25,5,5,24,0.2500000212966237,-0.0051477340162901,4.9863808216696456e-05,1.446050544477273e-05,0.0038026971276677,-1.3537060258720308,0.1884422948920229,0.8720211883734321,False,Full better than reduced model,age_ablation_cv.csv,delta_roc_noage_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.012996115148390486,0.0027006471158102863,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B1,No-age − Full,pr_auc,25,5,5,24,0.2500000212966237,-0.0017289503416556,7.236375769777879e-05,2.098549127345956e-05,0.0045809923895876,-0.3774182959974995,0.709179775927823,1.0,False,Full better than reduced model,age_ablation_cv.csv,delta_pr_noage_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.011183653945354375,0.0077257532620431755,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B1,No-age − Full,brier,25,5,5,24,0.2500000212966237,0.0001724830112654,4.848691358153991e-07,1.4061205971254126e-07,0.0003749827458864,0.4599758606430992,0.6496735684132091,1.0,False,Full better (lower Brier) than reduced model,age_ablation_cv.csv,delta_brier_noage_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.000601443338604868,0.0009464093611356681,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B2,No-demographics − Full,roc_auc,25,5,5,24,0.2500000212966237,0.0062217290963651,6.813486586200358e-05,1.9759112551023634e-05,0.004445122332515,1.399675561424856,0.1744042376746864,0.8720211883734321,False,reduced model better than Full,demographic_ablation_cv.csv,delta_roc_nodemo_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.002952552491973218,0.015396010684703419,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B2,No-demographics − Full,pr_auc,25,5,5,24,0.2500000212966237,-0.0001893474819614,8.712792923744371e-05,2.52671013343894e-05,0.0050266391689069,-0.0376688032697318,0.9702633311391656,1.0,False,Full better than reduced model,demographic_ablation_cv.csv,delta_pr_nodemo_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.01056382083249144,0.010185125868568639,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B2,No-demographics − Full,brier,25,5,5,24,0.2500000212966237,1.4714364321109009e-05,6.024221215900996e-07,1.747024280906861e-07,0.0004179741954842,0.0352040017782971,0.972208238902473,1.0,False,Full better (lower Brier) than reduced model,demographic_ablation_cv.csv,delta_brier_nodemo_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.0008479419765363621,0.0008773707051785801,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B3,No-health − Full,roc_auc,25,5,5,24,0.2500000212966237,0.004866307890002,0.0001013270928251,2.938485907721468e-05,0.0054207803015077,0.8977135429466635,0.3782560966588372,1.0,False,reduced model better than Full,health_ablation_cv.csv,delta_roc_nohealth_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.0063216327771812705,0.01605424855718527,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B3,No-health − Full,pr_auc,25,5,5,24,0.2500000212966237,0.0042355351504665,8.582268418824497e-05,2.4888580242324447e-05,0.0049888455821286,0.8490010525960893,0.404269936162473,1.0,False,reduced model better than Full,health_ablation_cv.csv,delta_pr_nohealth_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.006060936070673042,0.014532006371606041,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B3,No-health − Full,brier,25,5,5,24,0.2500000212966237,-0.0003673196139928,7.310914562151109e-07,2.1201653787216177e-07,0.0004604525359601,-0.7977361080809602,0.4328462136747176,1.0,False,reduced model better (lower Brier) than Full,health_ablation_cv.csv,delta_brier_nohealth_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.0013176469406588267,0.0005830077126732266,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B4,No-access − Full,roc_auc,25,5,5,24,0.2500000212966237,-0.0017827393564908,1.511320374474663e-05,4.382829407836735e-06,0.0020935208161937,-0.8515508146377334,0.4028806242000385,1.0,False,Full better than reduced model,access_ablation_cv.csv,delta_roc_noaccess_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.006103553957771305,0.0025380752447897057,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B4,No-access − Full,pr_auc,25,5,5,24,0.2500000212966237,-0.0016511423356955,1.7990190204663203e-05,5.217155542482639e-06,0.0022841093543179,-0.7228823491196529,0.4767383500184248,1.0,False,Full better than reduced model,access_ablation_cv.csv,delta_pr_noaccess_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.00636531234667333,0.00306302767528233,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B4,No-access − Full,brier,25,5,5,24,0.2500000212966237,0.0002000145979154,9.17857917037661e-08,2.6617881548819628e-08,0.0001631498744983,1.2259561861785375,0.2321090127334337,0.9284360509337348,False,Full better (lower Brier) than reduced model,access_ablation_cv.csv,delta_brier_noaccess_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.00013671019339143406,0.0005367393892222341,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B5,No-SES − Full,roc_auc,25,5,5,24,0.2500000212966237,0.0018852337052019,2.940554395678545e-05,8.527608373706584e-06,0.0029202069059754,0.6455822364313754,0.5246747311026475,1.0,False,reduced model better than Full,ses_ablation_cv.csv,delta_roc_noses_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.004141777127696951,0.007912244538100752,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
B,B5,No-SES − Full,pr_auc,25,5,5,24,0.2500000212966237,0.0065264315019732,6.316992815026051e-05,1.8319280508881736e-05,0.004280102861951,1.524830526852863,0.1403719837993716,0.7018599189968582,False,reduced model better than Full,ses_ablation_cv.csv,delta_pr_noses_minus_full,"mean ± t_{1-alpha/2, df} × Nadeau–Bengio corrected SE",0.05,-0.0023072666384274607,0.01536012964237386,"Difference is first − second as named in `contrast`. For ROC/PR, positive favors the first-named model. For Brier, negative favors the first-named model (lower Brier is better)."
